State,County,D,G,L,N,O,R
20,20193,610,NA,31,1113,NA,3008
20,20195,418,NA,14,521,NA,1186
20,20197,772,NA,30,1043,NA,2725
20,20199,78,NA,3,106,NA,827
20,20201,344,NA,9,467,NA,2828
20,20203,169,NA,6,380,NA,839
20,20205,715,NA,31,1011,NA,3111
20,20207,363,NA,11,470,NA,1343
20,20209,36687,NA,459,21981,NA,12401
22,22001,18796,NA,NA,NA,9564,11922
22,22003,7164,NA,NA,NA,3339,3469
22,22005,28736,NA,NA,NA,21016,27113
22,22007,9419,NA,NA,NA,2894,2938
22,22009,13915,NA,NA,NA,5760,5387
22,22011,7290,NA,NA,NA,7044,8293
22,22013,5210,NA,NA,NA,1779,2523
22,22015,21418,NA,NA,NA,19973,32404
22,22017,81897,NA,NA,NA,40399,46643
22,22019,55204,NA,NA,NA,36577,38787
22,22021,2683,NA,NA,NA,1693,2360
22,22023,2356,NA,NA,NA,1418,1456
22,22025,3630,NA,NA,NA,1455,1929
22,22027,4439,NA,NA,NA,2070,2685
22,22029,6809,NA,NA,NA,2964,3758
22,22031,9097,NA,NA,NA,4222,5844
22,22033,140866,NA,NA,NA,70719,81743
22,22035,3635,NA,NA,NA,922,777
22,22037,7221,NA,NA,NA,3091,3966
22,22039,12388,NA,NA,NA,4393,5396
22,22041,6487,NA,NA,NA,2807,4610
22,22043,4502,NA,NA,NA,3608,4914
22,22045,21609,NA,NA,NA,12192,14666
22,22047,14160,NA,NA,NA,3923,3496
22,22049,4604,NA,NA,NA,2183,3497
22,22051,112491,NA,NA,NA,78401,84274
22,22053,9374,NA,NA,NA,6086,5992
22,22055,54299,NA,NA,NA,43736,57870
22,22057,25801,NA,NA,NA,15818,17630
22,22059,3288,NA,NA,NA,2015,3688
22,22061,11468,NA,NA,NA,7162,9604
22,22063,22693,NA,NA,NA,24744,36323
22,22065,4593,NA,NA,NA,1694,1475
22,22067,9706,NA,NA,NA,4212,5046
22,22069,12432,NA,NA,NA,6354,6717
22,22071,167604,NA,NA,NA,66203,28622
22,22073,42210,NA,NA,NA,26866,36909
22,22075,6441,NA,NA,NA,4076,4997
22,22077,9357,NA,NA,NA,3071,3264
22,22079,36832,NA,NA,NA,21748,27818
22,22081,3354,NA,NA,NA,1196,1711
22,22083,6393,NA,NA,NA,3268,4771
22,22085,6237,NA,NA,NA,3648,5102
22,22087,11831,NA,NA,NA,8702,5853
22,22089,14292,NA,NA,NA,9434,11879
22,22091,5667,NA,NA,NA,1380,1506
22,22093,11062,NA,NA,NA,2416,2362
22,22095,18541,NA,NA,NA,6774,4892
22,22097,34198,NA,NA,NA,13463,13184
22,22099,18123,NA,NA,NA,8750,10316
22,22101,15256,NA,NA,NA,9148,9100
22,22103,42954,NA,NA,NA,50263,80886
22,22105,32724,NA,NA,NA,21901,24305
22,22107,2578,NA,NA,NA,532,859
22,22109,23214,NA,NA,NA,19578,22033
22,22111,6544,NA,NA,NA,3665,5792
22,22113,17142,NA,NA,NA,9966,10833
22,22115,8966,NA,NA,NA,7962,8860
22,22117,13871,NA,NA,NA,6296,7867
22,22119,11387,NA,NA,NA,6477,8189
22,22121,8803,NA,NA,NA,3921,4102
22,22123,2776,NA,NA,NA,1754,2845
22,22125,3475,NA,NA,NA,1691,2597
22,22127,4242,NA,NA,NA,2347,2682
23,23001,26073,4112,1137,29983,NA,19468
23,23003,16596,1863,105,17910,NA,14881
23,23005,91684,10575,1333,83169,NA,55822
