"fips_fixed","clinton","trump","johnson","stein","other","totalvotes","state","jurisdiction"
"01057",0.165110922536065,0.813674384773912,0.0132137228755001,0.00290944356891744,0.00509152624560553,8249,"AL","Fayette"
"01059",0.182475083056478,0.786212624584718,0.0197674418604651,0.00448504983388704,0.00705980066445183,12040,"AL","Franklin"
"01061",0.129698928389182,0.84997448545671,0.0126722231672053,0.00204116346317401,0.00561319952372853,11758,"AL","Geneva"
"01063",0.82233606557377,0.17172131147541,0.00266393442622951,0.00102459016393443,0.00225409836065574,4880,"AL","Greene"
"01065",0.593905472636816,0.394651741293532,0.00671641791044776,0.00149253731343284,0.00323383084577114,8040,"AL","Hale"
"01067",0.28394449950446,0.697720515361744,0.0112735381565907,0.00210604558969277,0.00495540138751239,8072,"AL","Henry"
"01069",0.250099674007364,0.720654799596613,0.0182696592321584,0.00337718989657356,0.00759867726729051,42639,"AL","Houston"
"01071",0.17503812428517,0.79451010293557,0.0187285550895921,0.00428898208158597,0.00743423560808235,20984,"AL","Jackson"
"01073",0.515705592867639,0.443037433717631,0.0218448277562453,0.00510863240529799,0.0143035132531863,304191,"AL","Jefferson"
"01075",0.148722365776629,0.835917312661499,0.00890037324145851,0.00215331610680448,0.00430663221360896,6966,"AL","Lamar"
"01077",0.251790006325111,0.705857052498419,0.0249715370018975,0.00561669829222011,0.0117647058823529,39525,"AL","Lauderdale"
"01079",0.244588306696338,0.730528019421404,0.0168588576438061,0.00209049834783195,0.00593431789061973,14829,"AL","Lawrence"
"01081",0.358669392306263,0.584835532428917,0.034295754422125,0.00614958355155345,0.0160497372911422,59191,"AL","Lee"
"01083",0.234972948826128,0.721372909117983,0.0261825581972502,0.0050131533230754,0.0124584305355636,40294,"AL","Limestone"
"01085",0.730550568521843,0.261968880909635,0.00478755236385398,0.00164572112507481,0.00104727707959306,6684,"AL","Lowndes"
"01087",0.827789934354486,0.156564551422319,0.0075492341356674,0.00536105032822757,0.00273522975929978,9140,"AL","Macon"
