,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,C D,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Ridgefield,Fairfield,4,6023,300,6323,4549,273,4822,116,8,124,C G IT L,5557,426,5983,16245,1007,17252
Rocky Hill,Hartford,1,2278,77,2355,4397,195,4592,14,1,15,CFL G IT L WF,4442,210,4652,11131,483,11614
Roxbury,Litchfield,5,483,40,523,460,45,505,10,1,11,G IT L WF,643,73,716,1596,159,1755
Salem,New London,2,631,23,654,856,32,888,22,2,24,G IT L,1202,78,1280,2711,135,2846
Salisbury,Litchfield,5,637,17,654,1158,34,1192,36,1,37,G IT L WF,1086,46,1132,2917,98,3015
Scotland,Windham,2,258,10,268,315,11,326,13,3,16,G IT L,475,27,502,1061,51,1112
Seymour,New Haven,3,2026,87,2113,2134,118,2252,16,3,19,C CFL G IT L,5151,290,5441,9327,498,9825
Sharon,Litchfield,5,502,57,559,611,40,651,4,0,4,IT,575,137,712,1692,234,1926
Shelton,Fairfield,"3,4",5965,97,6062,5148,75,5223,55,2,57,CFL F G I L RF WF,12418,271,12689,23586,445,24031
Sherman,Fairfield,5,854,16,870,617,20,637,29,0,29,G IT L,1145,48,1193,2645,84,2729
Simsbury,Hartford,5,5081,420,5501,4583,380,4963,58,4,62,CFL G I IT L WF,5463,907,6370,15185,1711,16896
Somers,Tolland,2,1590,53,1643,1407,59,1466,27,0,27,G IT L,3085,135,3220,6109,247,6356
South Windsor,Hartford,1,3354,215,3569,5659,395,6054,45,5,50,C G IT L,6034,730,6764,15092,1345,16437
Southbury,New Haven,5,4333,370,4703,2949,222,3171,119,10,129,C G IT L,5875,609,6484,13276,1211,14487
Southington,Hartford,1,6030,132,6162,8353,231,8584,297,13,310,C G IT L WF,12726,459,13185,27406,835,28241
Sprague,New London,2,338,22,360,660,48,708,5,0,5,G L,705,77,782,1708,147,1855
Stafford,Tolland,2,1214,115,1329,2806,238,3044,30,0,30,CFL G IT L,3165,455,3620,7215,808,8023
Stamford,Fairfield,4,12569,519,13088,23105,1357,24462,745,57,802,C CFL G I IT L RF WF,19884,1477,21361,56303,3410,59713
Sterling,Windham,2,389,10,399,413,12,425,33,0,33,IT L,1178,39,1217,2013,61,2074
