Report Date/Time: 01/12/2016 01:50 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 1
,,,,,"2016 January Voter Registration - January 1, 2016",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,ACTIVE,,,,,,
,,Precincts,Date/Period,Americans ,,Democratic,Green,Libertarian,Republican,Other,TOTAL
,,102,Oct-15,4,,"11,338",66,284,"9,634","17,978","39,304"
,,101,Jan-16,*,,"11,258",62,282,"9,490","17,807","38,899"
,Santa Cruz,24,Jul-15,0,,"1,364",4,19,479,"1,335","3,201"
,,24,Oct-15,0,,"1,322",4,18,457,"1,304","3,105"
,,24,Jan-16,*,,"1,300",4,17,453,"1,281","3,055"
,Yavapai,45,Jul-15,5,,"2,998",59,198,"4,904","7,629","15,793"
,,45,Oct-15,4,,"3,254",60,217,"5,318","8,397","17,250"
,,44,Jan-16,*,,"3,361",62,209,"5,531","8,721","17,884"
,Yuma,44,Jul-15,1,,"5,609",18,181,"5,382","9,412","20,603"
,,44,Oct-15,1,,"6,016",19,199,"5,793","10,277","22,305"
,,42,Jan-16,*,,"6,369",20,203,"6,123","11,082","23,797"
,TOTALS:,"1,566",Jul-15,62,,"125,908","1,407","4,949","115,444","197,394","445,164"
,,"1,517",Oct-15,61,,"126,204","1,381","4,927","116,082","199,760","448,415"
,,"1,466",Jan-16,*,,"150,172","1,486","6,059","138,762","239,979","536,458"
,PERCENTAGES:,,Jul-15,0.01,,28.28,0.32,1.11,25.93,44.34,
,,,Oct-15,0.01,,28.14,0.31,1.1,25.89,44.55,
,,,Jan-16,*,,27.99,0.28,1.13,25.87,44.73,
,* - Party was not a recognized party during this cycle,,,,,,,,,,
Report Date/Time: 01/12/2016 01:50 PM,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 7
,,,,,,"2016 January Voter Registration - January 1, 2016",,,,,
,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,INACTIVE,,,,,
,Congressional,,,Precincts,Democratic,,Green,Libertarian,Republican,Other,TOTAL
,,Congressional District 1,,,,,,,,,
,,,Apache,45,"1,521",,8,15,590,961,"3,095"
,,,Coconino,71,"3,689",,77,220,"2,510","7,050","13,546"
,,,Gila,22,840,,2,14,478,797,"2,131"
,,,Graham,22,615,,4,17,946,799,"2,381"
,,,Greenlee,8,96,,0,2,55,91,244
,,,Maricopa,3,68,,0,0,9,56,133
,,,Mohave,2,17,,0,0,8,20,45
,,,Navajo,14,"2,981",,12,70,"2,607","2,944","8,614"
,,,Pima,26,"2,110",,20,90,"3,069","3,353","8,642"
,,,Pinal,59,"6,919",,31,138,"4,488","9,188","20,764"
,,,Yavapai,7,557,,15,30,528,"1,251","2,381"
,,,TOTALS,279,"19,413",,169,596,"15,288","26,510","61,976"
,,Congressional District 2,,,,,,,,,
,,,Cochise,49,"2,037",,25,73,"2,570","3,849","8,554"
,,,Pima,145,"16,611",,264,626,"14,241","22,747","54,489"
,,,TOTALS,194,"18,648",,289,699,"16,811","26,596","63,043"
,,Congressional District 3,,,,,,,,,
,,,Maricopa,46,"4,861",,27,154,"3,140","7,450","15,632"
